作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
回答開始,2019-03-23 04:28:39,mina09551k,33,鳥取県,境港市,dq27,,,dq27-51,11,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:28:39,mina09551k,33,鳥取県,境港市,dq27,,,dq27-43,10,Rumi08201k,5,,,0,10,0.22,
回答開始,2019-03-23 04:28:48,mina09551k,33,鳥取県,境港市,dq27,,,dq27-13,12,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:28:48,mina09551k,33,鳥取県,境港市,dq27,,,dq27-51,11,Rumi08201k,6,,,0,10,0.22,
回答開始,2019-03-23 04:29:02,mina09551k,33,鳥取県,境港市,dq27,,,dq27-60,13,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:29:02,mina09551k,33,鳥取県,境港市,dq27,,,dq27-13,12,Rumi08201k,9,,,0,10,0.22,
回答開始,2019-03-23 04:29:15,mina09551k,33,鳥取県,境港市,dq27,,,dq27-38,14,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:29:15,mina09551k,33,鳥取県,境港市,dq27,,,dq27-60,13,Rumi08201k,17,,,0,10,0.22,
回答開始,2019-03-23 04:29:23,mina09551k,33,鳥取県,境港市,dq27,,,dq27-38,15,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:29:23,mina09551k,33,鳥取県,境港市,dq27,,,dq27-38,14,Rumi08201k,3,,,0,10,0.22,
合格,2019-03-23 04:30:09,mina09551k,33,鳥取県,境港市,dq27,,,,,Rumi08201k,98,16.41,1.64,0,10,18.27,
回答開始,2019-03-23 09:40:20,mami05591,9,鳥取県,境港市,dq27,,,dq27-36,1,keiko03851k,,,,0,10,0,
回答開始,2019-03-23 09:40:25,mami05591,9,鳥取県,境港市,dq27,,,dq27-50,2,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:40:25,mami05591,9,鳥取県,境港市,dq27,,,dq27-36,1,keiko03851k,2,,,0,10,0,
回答開始,2019-03-23 09:40:33,mami05591,9,鳥取県,境港市,dq27,,,dq27-33,3,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:40:33,mami05591,9,鳥取県,境港市,dq27,,,dq27-50,2,keiko03851k,3,,,0,10,0,
回答開始,2019-03-23 09:40:41,mami05591,9,鳥取県,境港市,dq27,,,dq27-1,4,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:40:41,mami05591,9,鳥取県,境港市,dq27,,,dq27-33,3,keiko03851k,5,,,0,10,0,
回答開始,2019-03-23 09:40:53,mami05591,9,鳥取県,境港市,dq27,,,dq27-43,5,keiko03851k,,,,0,10,0,
誤答,2019-03-23 09:40:53,mami05591,9,鳥取県,境港市,dq27,,,dq27-1,4,keiko03851k,9,,,0,10,0,
回答開始,2019-03-23 09:41:00,mami05591,9,鳥取県,境港市,dq27,,,dq27-9,6,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:41:00,mami05591,9,鳥取県,境港市,dq27,,,dq27-43,5,keiko03851k,2,,,0,10,0,
回答開始,2019-03-23 09:41:05,mami05591,9,鳥取県,境港市,dq27,,,dq27-28,7,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:41:06,mami05591,9,鳥取県,境港市,dq27,,,dq27-9,6,keiko03851k,1,,,0,10,0,
回答開始,2019-03-23 09:41:10,mami05591,9,鳥取県,境港市,dq27,,,dq27-22,8,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:41:10,mami05591,9,鳥取県,境港市,dq27,,,dq27-28,7,keiko03851k,1,,,0,10,0,
回答開始,2019-03-23 09:41:17,mami05591,9,鳥取県,境港市,dq27,,,dq27-21,9,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:41:18,mami05591,9,鳥取県,境港市,dq27,,,dq27-22,8,keiko03851k,4,,,0,10,0,
回答開始,2019-03-23 09:41:24,mami05591,9,鳥取県,境港市,dq27,,,dq27-32,10,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:41:24,mami05591,9,鳥取県,境港市,dq27,,,dq27-21,9,keiko03851k,3,,,0,10,0,
回答開始,2019-03-23 09:41:33,mami05591,9,鳥取県,境港市,dq27,,,dq27-23,11,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:41:33,mami05591,9,鳥取県,境港市,dq27,,,dq27-32,10,keiko03851k,8,,,0,10,0,
回答開始,2019-03-23 09:41:40,mami05591,9,鳥取県,境港市,dq27,,,dq27-34,12,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:41:40,mami05591,9,鳥取県,境港市,dq27,,,dq27-23,11,keiko03851k,3,,,0,10,0,
回答開始,2019-03-23 09:41:47,mami05591,9,鳥取県,境港市,dq27,,,dq27-26,13,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:41:47,mami05591,9,鳥取県,境港市,dq27,,,dq27-34,12,keiko03851k,4,,,0,10,0,
回答開始,2019-03-23 09:41:53,mami05591,9,鳥取県,境港市,dq27,,,dq27-44,14,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:41:54,mami05591,9,鳥取県,境港市,dq27,,,dq27-26,13,keiko03851k,6,,,0,10,0,
回答開始,2019-03-23 09:41:59,mami05591,9,鳥取県,境港市,dq27,,,dq27-38,15,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:41:59,mami05591,9,鳥取県,境港市,dq27,,,dq27-44,14,keiko03851k,2,,,0,10,0,
回答開始,2019-03-23 09:42:04,mami05591,9,鳥取県,境港市,dq27,,,dq27-38,16,keiko03851k,,,,0,10,0,
正答,2019-03-23 09:42:04,mami05591,9,鳥取県,境港市,dq27,,,dq27-38,15,keiko03851k,1,,,0,10,0,
合格,2019-03-23 09:43:19,mami05591,9,鳥取県,境港市,dq27,,,,,keiko03851k,53,16.41,1.64,0,10,18.05,
回答開始,2019-03-27 04:32:16,keiko03851k,50,青森県,黒石市,dq25,,,dq25-11,1,mariko06981k,,,,0,10,13.51,
回答開始,2019-03-27 04:32:27,keiko03851k,50,青森県,黒石市,dq25,,,dq25-9,2,mariko06981k,,,,0,10,13.51,
正答,2019-03-27 04:32:27,keiko03851k,50,青森県,黒石市,dq25,,,dq25-11,1,mariko06981k,7,,,0,10,13.51,
回答開始,2019-03-27 04:32:36,keiko03851k,50,青森県,黒石市,dq25,,,dq25-7,3,mariko06981k,,,,0,10,13.51,
正答,2019-03-27 04:32:36,keiko03851k,50,青森県,黒石市,dq25,,,dq25-9,2,mariko06981k,5,,,0,10,13.51,
回答開始,2019-03-27 04:32:45,keiko03851k,50,青森県,黒石市,dq25,,,dq25-16,4,mariko06981k,,,,0,10,13.51,
正答,2019-03-27 04:32:45,keiko03851k,50,青森県,黒石市,dq25,,,dq25-7,3,mariko06981k,5,,,0,10,13.51,
回答開始,2019-03-27 04:32:52,keiko03851k,50,青森県,黒石市,dq25,,,dq25-32,5,mariko06981k,,,,0,10,13.51,
正答,2019-03-27 04:32:52,keiko03851k,50,青森県,黒石市,dq25,,,dq25-16,4,mariko06981k,8,,,0,10,13.51,
回答開始,2019-03-27 04:33:02,keiko03851k,50,青森県,黒石市,dq25,,,dq25-21,6,mariko06981k,,,,0,10,13.51,
正答,2019-03-27 04:33:02,keiko03851k,50,青森県,黒石市,dq25,,,dq25-32,5,mariko06981k,6,,,0,10,13.51,
回答開始,2019-03-27 04:33:13,keiko03851k,50,青森県,黒石市,dq25,,,dq25-6,7,mariko06981k,,,,0,10,13.51,
正答,2019-03-27 04:33:14,keiko03851k,50,青森県,黒石市,dq25,,,dq25-21,6,mariko06981k,8,,,0,10,13.51,
正答,2019-03-27 04:33:24,keiko03851k,50,青森県,黒石市,dq25,,,dq25-6,7,mariko06981k,15,,,0,10,13.51,
合格,2019-03-27 04:33:50,keiko03851k,50,青森県,黒石市,dq25,,,,,mariko06981k,54,2.2,0.22,0,10,15.93,
回答開始,2019-03-27 14:27:43,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-33,1,mariko06981k,,,,0,10,0,
回答開始,2019-03-27 14:27:51,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-13,2,mariko06981k,,,,0,10,0,
正答,2019-03-27 14:27:51,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-33,1,mariko06981k,4,,,0,10,0,
回答開始,2019-03-27 14:28:02,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-3,3,mariko06981k,,,,0,10,0,
正答,2019-03-27 14:28:03,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-13,2,mariko06981k,7,,,0,10,0,
回答開始,2019-03-27 14:28:11,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-23,4,mariko06981k,,,,0,10,0,
正答,2019-03-27 14:28:12,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-3,3,mariko06981k,11,,,0,10,0,
回答開始,2019-03-27 14:28:23,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-25,5,mariko06981k,,,,0,10,0,
正答,2019-03-27 14:28:23,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-23,4,mariko06981k,7,,,0,10,0,
回答開始,2019-03-27 14:28:32,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-1,6,mariko06981k,,,,0,10,0,
正答,2019-03-27 14:28:32,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-25,5,mariko06981k,5,,,0,10,0,
回答開始,2019-03-27 14:28:45,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-1,7,mariko06981k,,,,0,10,0,
正答,2019-03-27 14:28:45,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,dq25-1,6,mariko06981k,10,,,0,10,0,
合格,2019-03-27 14:29:15,tomoko04781,15,神奈川県,横浜市旭区,dq25,,,,,mariko06981k,42,2.2,0.22,0,10,2.42,
回答開始,2019-03-28 10:06:52,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-14,1,mariko06981k,,,,0,10,0,
回答開始,2019-03-28 10:07:01,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-13,2,mariko06981k,,,,0,10,0,
正答,2019-03-28 10:07:01,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-14,1,mariko06981k,5,,,0,10,0,
回答開始,2019-03-28 10:07:10,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-32,3,mariko06981k,,,,0,10,0,
正答,2019-03-28 10:07:11,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-13,2,mariko06981k,6,,,0,10,0,
回答開始,2019-03-28 10:07:22,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-22,4,mariko06981k,,,,0,10,0,
正答,2019-03-28 10:07:22,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-32,3,mariko06981k,7,,,0,10,0,
回答開始,2019-03-28 10:07:30,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-5,5,mariko06981k,,,,0,10,0,
正答,2019-03-28 10:07:30,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-22,4,mariko06981k,4,,,0,10,0,
回答開始,2019-03-28 10:07:38,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-8,6,mariko06981k,,,,0,10,0,
正答,2019-03-28 10:07:38,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-5,5,mariko06981k,5,,,0,10,0,
回答開始,2019-03-28 10:07:49,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-8,7,mariko06981k,,,,0,10,0,
正答,2019-03-28 10:07:49,yuzuru05972,16,茨城県,水戸市,dq25,,,dq25-8,6,mariko06981k,7,,,0,10,0,
合格,2019-03-28 10:08:11,yuzuru05972,16,茨城県,水戸市,dq25,,,,,mariko06981k,41,2.2,0.22,0,10,2.42,
回答開始,2019-04-03 14:25:15,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-10,1,michiko06841s,,,,0,10,11.44,
回答開始,2019-04-03 14:25:25,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-17,2,michiko06841s,,,,0,10,11.44,
正答,2019-04-03 14:25:25,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-10,1,michiko06841s,6,,,0,10,11.44,
回答開始,2019-04-03 14:25:34,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-18,3,michiko06841s,,,,0,10,11.44,
正答,2019-04-03 14:25:34,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-17,2,michiko06841s,6,,,0,10,11.44,
回答開始,2019-04-03 14:25:42,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-25,4,michiko06841s,,,,0,10,11.44,
正答,2019-04-03 14:25:43,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-18,3,michiko06841s,5,,,0,10,11.44,
回答開始,2019-04-03 14:25:54,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-23,5,michiko06841s,,,,0,10,11.44,
正答,2019-04-03 14:25:54,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-25,4,michiko06841s,8,,,0,10,11.44,
回答開始,2019-04-03 14:26:04,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-1,6,michiko06841s,,,,0,10,11.44,
正答,2019-04-03 14:26:04,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-23,5,michiko06841s,6,,,0,10,11.44,
回答開始,2019-04-03 14:26:15,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-1,7,michiko06841s,,,,0,10,11.44,
正答,2019-04-03 14:26:16,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-1,6,michiko06841s,14,,,0,10,11.44,
誤答,2019-04-03 14:26:56,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,dq25-5,8,mariko06981k,9,,,0,10,11.44,
不合格1度目,2019-04-03 14:26:56,shiori09541k,30,神奈川県,三浦郡葉山町,dq25,,,,,mariko06981k,46,0,0,0,10,11.44,
回答開始,2019-04-06 01:58:27,keiko03851k,51,青森県,黒石市,dq27,,,dq27-34,1,osamu0522s,,,,0,10,15.93,
回答開始,2019-04-06 01:58:29,keiko03851k,51,青森県,黒石市,dq27,,,dq27-34,1,osamu0522s,,,,0,10,15.93,
回答開始,2019-04-06 01:58:39,keiko03851k,51,青森県,黒石市,dq27,,,dq27-15,2,osamu0522s,,,,0,10,15.93,
正答,2019-04-06 01:58:39,keiko03851k,51,青森県,黒石市,dq27,,,dq27-34,1,osamu0522s,7,,,0,10,15.93,
回答開始,2019-04-06 01:58:54,keiko03851k,51,青森県,黒石市,dq27,,,dq27-5,3,osamu0522s,,,,0,10,15.93,
誤答,2019-04-06 01:58:54,keiko03851k,51,青森県,黒石市,dq27,,,dq27-15,2,osamu0522s,11,,,0,10,15.93,
回答開始,2019-04-06 01:59:06,keiko03851k,51,青森県,黒石市,dq27,,,dq27-57,4,osamu0522s,,,,0,10,15.93,
誤答,2019-04-06 01:59:06,keiko03851k,51,青森県,黒石市,dq27,,,dq27-5,3,osamu0522s,9,,,0,10,15.93,
回答開始,2019-04-06 01:59:16,keiko03851k,51,青森県,黒石市,dq27,,,dq27-43,5,osamu0522s,,,,0,10,15.93,
誤答,2019-04-06 01:59:16,keiko03851k,51,青森県,黒石市,dq27,,,dq27-57,4,osamu0522s,5,,,0,10,15.93,
誤答,2019-04-06 01:59:22,keiko03851k,51,青森県,黒石市,dq27,,,dq27-43,6,mariko06981k,3,,,0,10,15.93,
不合格1度目,2019-04-06 01:59:23,keiko03851k,51,青森県,黒石市,dq27,,,,,mariko06981k,40,0,0,0,10,15.93,
回答開始,2019-04-06 14:42:18,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-64,1,osamu0522s,,,,0,10,2.42,
回答開始,2019-04-06 14:42:28,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-42,2,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:42:28,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-64,1,osamu0522s,5,,,0,10,2.42,
回答開始,2019-04-06 14:42:34,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-31,3,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:42:34,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-42,2,osamu0522s,2,,,0,10,2.42,
回答開始,2019-04-06 14:42:40,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-53,4,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:42:40,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-31,3,osamu0522s,3,,,0,10,2.42,
回答開始,2019-04-06 14:42:46,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-9,5,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:42:46,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-53,4,osamu0522s,3,,,0,10,2.42,
回答開始,2019-04-06 14:42:52,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-26,6,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:42:52,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-9,5,osamu0522s,2,,,0,10,2.42,
回答開始,2019-04-06 14:42:57,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-37,7,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:42:57,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-26,6,osamu0522s,4,,,0,10,2.42,
回答開始,2019-04-06 14:43:03,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-41,8,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:43:03,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-37,7,osamu0522s,2,,,0,10,2.42,
回答開始,2019-04-06 14:43:12,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-32,9,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:43:12,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-41,8,osamu0522s,4,,,0,10,2.42,
回答開始,2019-04-06 14:43:19,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-60,10,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:43:19,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-32,9,osamu0522s,8,,,0,10,2.42,
回答開始,2019-04-06 14:43:42,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-60,10,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:43:42,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-32,9,osamu0522s,4,,,0,10,2.42,
誤答,2019-04-06 14:43:50,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-60,11,mariko06981k,5,,,0,10,2.42,
不合格1度目,2019-04-06 14:43:50,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,,,mariko06981k,38,0,0,0,10,2.42,
回答開始,2019-04-06 14:49:09,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-35,1,osamu0522s,,,,0,10,2.42,
回答開始,2019-04-06 14:49:15,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-16,2,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:49:15,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-35,1,osamu0522s,2,,,0,10,2.42,
回答開始,2019-04-06 14:49:19,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-47,3,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:49:20,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-16,2,osamu0522s,1,,,0,10,2.42,
回答開始,2019-04-06 14:49:25,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-19,4,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:49:25,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-47,3,osamu0522s,2,,,0,10,2.42,
回答開始,2019-04-06 14:49:31,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-46,5,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:49:31,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-19,4,osamu0522s,2,,,0,10,2.42,
回答開始,2019-04-06 14:49:39,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-61,6,osamu0522s,,,,0,10,2.42,
誤答,2019-04-06 14:49:39,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-46,5,osamu0522s,4,,,0,10,2.42,
回答開始,2019-04-06 14:49:45,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-17,7,osamu0522s,,,,0,10,2.42,
誤答,2019-04-06 14:49:45,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-61,6,osamu0522s,3,,,0,10,2.42,
回答開始,2019-04-06 14:50:16,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-45,8,osamu0522s,,,,0,10,2.42,
誤答,2019-04-06 14:50:16,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-17,7,osamu0522s,28,,,0,10,2.42,
回答開始,2019-04-06 14:50:51,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-45,9,osamu0522s,,,,0,10,2.42,
誤答,2019-04-06 14:50:51,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-45,8,osamu0522s,31,,,0,10,2.42,
回答開始,2019-04-06 14:51:46,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-48,9,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:51:46,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-45,8,osamu0522s,-25,,,0,10,2.42,
回答開始,2019-04-06 14:51:51,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-55,10,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:51:51,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-48,9,osamu0522s,2,,,0,10,2.42,
回答開始,2019-04-06 14:51:57,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-11,11,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:51:57,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-55,10,osamu0522s,2,,,0,10,2.42,
回答開始,2019-04-06 14:52:03,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-23,12,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:52:03,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-11,11,osamu0522s,3,,,0,10,2.42,
回答開始,2019-04-06 14:52:14,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-23,12,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:52:14,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-11,11,osamu0522s,1,,,0,10,2.42,
回答開始,2019-04-06 14:52:20,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-2,13,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:52:20,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-23,12,osamu0522s,3,,,0,10,2.42,
回答開始,2019-04-06 14:52:30,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-2,14,osamu0522s,,,,0,10,2.42,
誤答,2019-04-06 14:52:30,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-2,13,osamu0522s,7,,,0,10,2.42,
回答開始,2019-04-06 14:52:44,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-5,14,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:52:44,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-2,13,osamu0522s,-1,,,0,10,2.42,
回答開始,2019-04-06 14:52:54,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-12,15,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:52:54,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-5,14,osamu0522s,7,,,0,10,2.42,
回答開始,2019-04-06 14:53:03,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-27,16,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:53:03,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-12,15,osamu0522s,6,,,0,10,2.42,
回答開始,2019-04-06 14:53:10,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-37,17,osamu0522s,,,,0,10,2.42,
正答,2019-04-06 14:53:10,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-27,16,osamu0522s,4,,,0,10,2.42,
正答,2019-04-06 14:53:16,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-37,17,osamu0522s,2,,,0,10,2.42,
